region,rank,division,summonerName,win,lose,winRatio
ru,GRANDMASTER,-,global warming ,43,31,0.5811
ru,GRANDMASTER,-,cocabob,558,534,0.511
ru,GRANDMASTER,-,gøvnø  igra,174,136,0.5613
ru,GRANDMASTER,-,2 22 P M,370,330,0.5286
ru,GRANDMASTER,-,Sterben9,286,226,0.5586
ru,GRANDMASTER,-,Copy Ninja,516,488,0.5139
ru,GRANDMASTER,-,Пøнтий Пилaт,524,498,0.5127
ru,GRANDMASTER,-,Tokene,152,136,0.5278
ru,GRANDMASTER,-,hunty mommy,282,248,0.5321
ru,GRANDMASTER,-,CD SurokK DC,216,205,0.5131
ru,GRANDMASTER,-,SharinganKarthus,227,173,0.5675
ru,GRANDMASTER,-,vanyushaaa,66,43,0.6055
ru,GRANDMASTER,-,BUŁLET1,305,275,0.5259
ru,GRANDMASTER,-,VALERONGIDROPON,425,382,0.5266
ru,GRANDMASTER,-,Kasaroz,175,135,0.5645
ru,GRANDMASTER,-,moondolf,112,87,0.5628
ru,GRANDMASTER,-,HarleyyQuinn,555,514,0.5192
ru,GRANDMASTER,-, NeRoCristiMD,277,244,0.5317
ru,GRANDMASTER,-,Dodyrchik,424,411,0.5078
ru,GRANDMASTER,-,TwTV XioShio94,71,49,0.5917
ru,GRANDMASTER,-,Мда1123,116,87,0.5714
ru,GRANDMASTER,-,un creditable,439,407,0.5189
ru,GRANDMASTER,-,kienandlucaabusa,141,110,0.5618
ru,GRANDMASTER,-,yаbloko,380,339,0.5285
ru,GRANDMASTER,-,Isnurgencys,107,89,0.5459
ru,GRANDMASTER,-,Рудэус Болотный,73,56,0.5659
ru,GRANDMASTER,-,EkleDank,138,131,0.513
ru,GRANDMASTER,-,RUS2Wolfy,242,197,0.5513
ru,GRANDMASTER,-,Tratatata chpoke,155,138,0.529
ru,GRANDMASTER,-,FecalBear,101,82,0.5519
ru,GRANDMASTER,-,Łéønardø,251,237,0.5143
ru,GRANDMASTER,-,MrTеa,418,388,0.5186
ru,GRANDMASTER,-,TimNewLight,319,223,0.5886
ru,GRANDMASTER,-,Hardstuck musor,95,77,0.5523
ru,GRANDMASTER,-,Peaky sênd nüdes,60,49,0.5505
ru,GRANDMASTER,-,RikZyy,269,239,0.5295
ru,GRANDMASTER,-,yYWnaMRcUY4sfy26,86,53,0.6187
ru,GRANDMASTER,-,Hìde on bush,238,201,0.5421
ru,GRANDMASTER,-,Zalmeaornis,81,48,0.6279
ru,GRANDMASTER,-,Madnessn1,157,147,0.5164
ru,GRANDMASTER,-,Poyalko,68,52,0.5667
ru,GRANDMASTER,-,THELASTRONIN AL,77,40,0.6581
ru,GRANDMASTER,-,Rawcore,710,651,0.5217
ru,GRANDMASTER,-,Реасе Dose ,62,64,0.4921
ru,GRANDMASTER,-,burden boy,169,140,0.5469
ru,GRANDMASTER,-,Astrolog Fedor,492,454,0.5201
ru,GRANDMASTER,-,ESHKEREEEEEEEEEE,220,198,0.5263
ru,GRANDMASTER,-,Awilo,101,74,0.5771
ru,GRANDMASTER,-,Cornucopia,80,61,0.5674
ru,GRANDMASTER,-,Пøнтий Пилaт,524,498,0.5127
ru,GRANDMASTER,-,RikZyy,269,239,0.5295
ru,GRANDMASTER,-,Copy Ninja,516,488,0.5139
ru,GRANDMASTER,-,SharinganKarthus,227,173,0.5675
ru,GRANDMASTER,-,red oceán,86,56,0.6056
ru,GRANDMASTER,-,CD SurokK DC,216,205,0.5131
ru,GRANDMASTER,-,MrTеa,418,388,0.5186
ru,GRANDMASTER,-,yYWnaMRcUY4sfy26,86,53,0.6187
ru,GRANDMASTER,-,Hìde on bush,238,201,0.5421
ru,GRANDMASTER,-,Fisik,358,329,0.5211
ru,GRANDMASTER,-,Black Agate,129,106,0.5489
ru,GRANDMASTER,-,Smerelk,436,402,0.5203
ru,GRANDMASTER,-,Draven i balanse,152,104,0.5938
ru,GRANDMASTER,-,yurameister,167,134,0.5548
ru,GRANDMASTER,-,Zalmeaornis,81,48,0.6279
ru,GRANDMASTER,-,Fairon,257,190,0.5749
ru,GRANDMASTER,-,Sênbônzâkurâ,356,352,0.5028
ru,GRANDMASTER,-, NeRoCristiMD,277,244,0.5317
ru,GRANDMASTER,-,Tokene,152,136,0.5278
ru,GRANDMASTER,-,Не хочу в армию,135,92,0.5947
ru,GRANDMASTER,-,TimNewLight,319,223,0.5886
ru,GRANDMASTER,-,cocabob,558,534,0.511
ru,GRANDMASTER,-,sapph1re,152,134,0.5315
ru,GRANDMASTER,-,Kapa42,339,302,0.5289
ru,GRANDMASTER,-,zhangyuxiaowanzi,228,158,0.5907
ru,GRANDMASTER,-,EkleDank,138,131,0.513
ru,GRANDMASTER,-,un creditable,439,407,0.5189
ru,GRANDMASTER,-,43152,102,101,0.5025
ru,GRANDMASTER,-,R1fo,145,117,0.5534
ru,GRANDMASTER,-,FecalBear,101,82,0.5519
ru,GRANDMASTER,-,Аirobloodin,258,238,0.5202
ru,GRANDMASTER,-,yаbloko,380,339,0.5285
ru,GRANDMASTER,-,MrGraek,280,251,0.5273
