region,rank,division,summonerName,win,lose,winRatio
euw1,GRANDMASTER,-,submissiøn,264,229,0.5355
euw1,GRANDMASTER,-,Jasοn Bourne,371,331,0.5285
euw1,GRANDMASTER,-,Jonah Falcon,539,511,0.5133
euw1,GRANDMASTER,-,S9XDXDXD,188,138,0.5767
euw1,GRANDMASTER,-,Happy Mish,589,554,0.5153
euw1,GRANDMASTER,-,Cloud9boi,225,194,0.537
euw1,GRANDMASTER,-,twtchtvELOSANTA,719,623,0.5358
euw1,GRANDMASTER,-,silkysmath,785,741,0.5144
euw1,GRANDMASTER,-,TSIPER,364,326,0.5275
euw1,GRANDMASTER,-,Don Noway,559,526,0.5152
euw1,GRANDMASTER,-,Adım Barkın,389,349,0.5271
euw1,GRANDMASTER,-,Calmsky,300,275,0.5217
euw1,GRANDMASTER,-,McWeeLy,327,253,0.5638
euw1,GRANDMASTER,-,Pehrson,233,206,0.5308
euw1,GRANDMASTER,-,Desperate Shaco,341,286,0.5439
euw1,GRANDMASTER,-,1997Worlds0013,135,93,0.5921
euw1,GRANDMASTER,-,14yo smurf ,242,200,0.5475
euw1,GRANDMASTER,-,can i behave,164,126,0.5655
euw1,GRANDMASTER,-,inspxre581295210,171,134,0.5607
euw1,GRANDMASTER,-,Notes In TheDark,645,616,0.5115
euw1,GRANDMASTER,-,Nillee,824,778,0.5144
euw1,GRANDMASTER,-,Helpful Slipper,451,399,0.5306
euw1,GRANDMASTER,-,WTX Scripter,353,315,0.5284
euw1,GRANDMASTER,-, hege int acc1,226,194,0.5381
euw1,GRANDMASTER,-,Smooth Guy,757,676,0.5283
euw1,GRANDMASTER,-,Praesens,201,156,0.563
euw1,GRANDMASTER,-,Homeless Qu4rtzo,224,171,0.5671
euw1,GRANDMASTER,-,Chemera,643,596,0.519
euw1,GRANDMASTER,-,Wi Ha joon,55,40,0.5789
euw1,GRANDMASTER,-,Supp for cats,560,519,0.519
euw1,GRANDMASTER,-,SWENZUUUUUUUUUUU,900,870,0.5085
euw1,GRANDMASTER,-,Retired Yung,251,211,0.5433
euw1,GRANDMASTER,-,Exiledˆ,365,318,0.5344
euw1,GRANDMASTER,-,yesname,474,430,0.5243
euw1,GRANDMASTER,-,Kuuuu,179,144,0.5542
euw1,GRANDMASTER,-,LEWANDOWSKl,469,420,0.5276
euw1,GRANDMASTER,-,Jungler3,333,284,0.5397
euw1,GRANDMASTER,-,iDekap,928,873,0.5153
euw1,GRANDMASTER,-,Canard Mandarin,490,440,0.5269
euw1,GRANDMASTER,-,357159,863,830,0.5097
euw1,GRANDMASTER,-,Falleo,171,104,0.6218
euw1,GRANDMASTER,-,Fressko,851,809,0.5127
euw1,GRANDMASTER,-,Nathan der Weise,274,230,0.5437
euw1,GRANDMASTER,-,FFDP,141,105,0.5732
euw1,GRANDMASTER,-,Mr Tickle,338,313,0.5192
euw1,GRANDMASTER,-,GXR Monk,858,830,0.5083
euw1,GRANDMASTER,-,FNC Nisqybaba,451,408,0.525
euw1,GRANDMASTER,-,Broken Record,327,289,0.5308
euw1,GRANDMASTER,-,TXYGN,416,378,0.5239
euw1,GRANDMASTER,-,Yosikomo,211,165,0.5612
euw1,GRANDMASTER,-,Lurox,279,255,0.5225
euw1,GRANDMASTER,-,FROMENXD,125,95,0.5682
euw1,GRANDMASTER,-,NieUfamCiJezu12,553,523,0.5139
euw1,GRANDMASTER,-,Wu Guan Fèng Yuè,203,155,0.567
euw1,GRANDMASTER,-,NiuNai,542,509,0.5157
euw1,GRANDMASTER,-,Chrego,460,408,0.53
euw1,GRANDMASTER,-,Sleepin all Day,421,392,0.5178
euw1,GRANDMASTER,-,Fabrikant Sebi,226,196,0.5355
euw1,GRANDMASTER,-,επιμονή,715,682,0.5118
euw1,GRANDMASTER,-,RKT Maςaquiñø,776,734,0.5139
euw1,GRANDMASTER,-,Mohe dance hall,115,81,0.5867
euw1,GRANDMASTER,-,ClickJJ,193,171,0.5302
euw1,GRANDMASTER,-,woshilqs,102,70,0.593
euw1,GRANDMASTER,-,OLA MESΑ,492,446,0.5245
euw1,GRANDMASTER,-,PIYCRIGY,290,252,0.5351
euw1,GRANDMASTER,-,No Arm Whatley,375,338,0.5259
euw1,GRANDMASTER,-,Mèo Con Athena,723,674,0.5175
euw1,GRANDMASTER,-,Ðamøn Salvatore,527,479,0.5239
euw1,GRANDMASTER,-,Prince Disco,145,82,0.6388
euw1,GRANDMASTER,-,IG Divine,167,149,0.5285
euw1,GRANDMASTER,-,Immobilize,262,207,0.5586
euw1,GRANDMASTER,-,Bibi Dong,355,328,0.5198
euw1,GRANDMASTER,-,HRN Joinze,896,837,0.517
euw1,GRANDMASTER,-,tibor,511,474,0.5188
euw1,GRANDMASTER,-,samura1nt,490,441,0.5263
euw1,GRANDMASTER,-,TAMAAAAAAAAAAA,377,266,0.5863
euw1,GRANDMASTER,-,zoír,221,185,0.5443
